

matricola  lab1       lab2     lab3  lab4  lab5
AMASMS000  -          -        -     -     -
SM3201556  -          -        -     -     -
SM3201467  -          -        -     -     -
SM3201478  -          -        -     -     -
SM3201318  -          -        -     -     -
SM3201465  EXEC_OK    -        -     -     -
IN0501063  -          -        -     -     -
SM3201387  -          -        -     -     -
IN0501060  -          -        -     -     -
IN2000253  -          -        -     -     -
SM3201531  -          -        -     -     -
SM3201426  -          -        -     -     -
SM3201533  EXEC_OK    -        -     -     -
IN0500737  -          -        -     -     -
SM3201195  -          -        -     -     -
SM3201488  -          -        -     -     -
SM3201517  EXEC_OK    EXEC_OK  -     -     -
SM3201494  -          -        -     -     -
IN0501132  EXEC_OK    EXEC_OK  -     -     -
IN0501139  EXEC_OK    EXEC_OK  -     -     -
SM3201527  -          -        -     -     -
IN0501153  -          -        -     -     -
SM3201489  -          -        -     -     -
IN0500820  -          -        -     -     -
IN0500198  -          -        -     -     -
SM3201526  EXEC_OK    -        -     -     -
SM3201496  -          -        -     -     -
IN0500978  -          -        -     -     -
SM3201229  EXEC_OK    EXEC_OK  -     -     -
SM3201521  -          -        -     -     -
IN0501152  -          -        -     -     -
SM3201197  -          -        -     -     -
SM3201529  -          -        -     -     -
SM3201249  -          -        -     -     -
SM3201484  -          -        -     -     -
IN0500834  EXEC_OK    EXEC_OK  -     -     -
SM3201281  -          -        -     -     -
SM3201448  -          -        -     -     -
SM3201321  -          -        -     -     -
IN0501088  EXEC_OK    EXEC_OK  -     -     -
IN0501042  EXEC_OK    EXEC_OK  -     -     -
IN0501137  -          -        -     -     -
SM3201530  -          -        -     -     -
SM3201497  EXEC_OK    -        -     -     -
IN0501102  EXEC_OK    EXEC_OK  -     -     -
IN0501112  EXEC_OK    EXEC_OK  -     -     -
SM3201495  -          -        -     -     -
SM3201572  -          -        -     -     -
IN0500499  EXEC_OK    EXEC_OK  -     -     -
IN0501073  EXEC_OK    EXEC_OK  -     -     -
IN0500925  -          -        -     -     -
SM3201421  -          -        -     -     -
SM3201166  EXEC_OK    EXEC_OK  -     -     -
SM3201498  EXEC_OK    EXEC_OK  -     -     -
SM3201528  -          -        -     -     -
SM3201545  FAIL_EXEC  -        -     -     -
SM3201520  -          -        -     -     -
IN0500903  -          -        -     -     -
IN0500774  -          -        -     -     -
SM3201532  -          -        -     -     -
SM3201479  EXEC_OK    EXEC_OK  -     -     -
SM3201536  EXEC_OK    -        -     -     -
IN0501115  -          -        -     -     -
SM3201500  -          -        -     -     -
SM3201512  EXEC_OK    EXEC_OK  -     -     -
IN0501095  EXEC_OK    EXEC_OK  -     -     -
IN0501302  -          -        -     -     -
SM3201525  EXEC_OK    EXEC_OK  -     -     -
SM3201509  -          -        -     -     -
SM3201482  -          -        -     -     -
SM3201543  -          -        -     -     -
SM3201257  EXEC_OK    EXEC_OK  -     -     -
IN0501081  EXEC_OK    EXEC_OK  -     -     -
SM3201480  -          -        -     -     -
SM3201239  -          -        -     -     -
SM3201469  EXEC_OK    -        -     -     -
SM3201468  -          -        -     -     -
IN0501184  EXEC_OK    EXEC_OK  -     -     -
IN0501058  -          -        -     -     -
IN0501134  -          -        -     -     -
SM3201534  -          -        -     -     -
SM3201524  EXEC_OK    -        -     -     -
IN0500375  -          -        -     -     -
81300026   -          -        -     -     -
SM3201550  -          -        -     -     -
SM3201265  -          -        -     -     -
IN0501116  -          -        -     -     -
SM3201573  -          -        -     -     -
SM3201537  -          -        -     -     -
SM3201523  -          -        -     -     -
IN0501091  FAIL_EXEC  -        -     -     -
IN0501032  -          -        -     -     -
IN0501161  -          -        -     -     -
SM3201483  EXEC_OK    EXEC_OK  -     -     -
IN0501053  EXEC_OK    EXEC_OK  -     -     -
IN0500675  -          -        -     -     -
SM3201502  EXEC_OK    EXEC_OK  -     -     -
SM3201559  -          -        -     -     -
SM3201541  -          -        -     -     -
IN0500909  -          -        -     -     -
SM3201466  EXEC_OK    EXEC_OK  -     -     -
SM3201510  -          -        -     -     -
SM3201565  EXEC_OK    EXEC_OK  -     -     -
SM3201539  EXEC_OK    EXEC_OK  -     -     -
SM3201475  EXEC_OK    -        -     -     -
SM3201562  -          -        -     -     -
SM3201503  EXEC_OK    EXEC_OK  -     -     -
SM3201513  EXEC_OK    -        -     -     -
SM3201486  EXEC_OK    EXEC_OK  -     -     -
SM3201476  -          -        -     -     -
SM3201551  -          -        -     -     -
SM3201514  -          -        -     -     -
SP0203383  -          -        -     -     -
SM3201535  -          -        -     -     -
SM3201547  -          -        -     -     -
SM3201375  -          -        -     -     -
IN0500861  EXEC_OK    EXEC_OK  -     -     -
IN0501062  EXEC_OK    EXEC_OK  -     -     -
SM3201491  -          -        -     -     -
IN0501089  EXEC_OK    EXEC_OK  -     -     -
IN0501097  EXEC_OK    EXEC_OK  -     -     -
SM3201504  EXEC_OK    EXEC_OK  -     -     -
IN0301276  -          -        -     -     -
SM3201546  EXEC_OK    EXEC_OK  -     -     -
IN0501064  EXEC_OK    -        -     -     -
IN0501059  -          -        -     -     -
SM3201515  FAIL_EXEC  -        -     -     -
SM3201505  EXEC_OK    EXEC_OK  -     -     -
SM3201564  -          -        -     -     -
DR1400016  EXEC_OK    EXEC_OK  -     -     -
SM3201477  -          -        -     -     -
SM3201289  -          -        -     -     -
IN0500786  EXEC_OK    EXEC_OK  -     -     -
IN0501120  EXEC_OK    EXEC_OK  -     -     -
SM3201492  -          -        -     -     -
SM3201207  -          -        -     -     -
SM3201568  -          -        -     -     -
IN0501176  EXEC_OK    EXEC_OK  -     -     -
IN0501101  EXEC_OK    -        -     -     -
IN0501121  -          -        -     -     -
SM3201234  -          -        -     -     -
SM3201472  -          -        -     -     -
SM3201506  EXEC_OK    -        -     -     -
IN0501122  EXEC_OK    -        -     -     -
SM3201267  -          -        -     -     -
SM3201540  -          -        -     -     -
SM3201507  -          -        -     -     -
SM3201549  -          -        -     -     -
SM3201400  EXEC_OK    EXEC_OK  -     -     -
SM3201464  -          -        -     -     -

